,Unnamed: 0,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,treatment
72066,5398,ENSG00000128607,400.36990750412826,-0.6308526492478047,0.1382395788040396,-4.563473461837327,5.031417239716136e-06,0.0033303190300978,nZF105
72082,5414,ENSG00000128739,1762.1604036556207,-0.6250403511545543,0.0899564411170092,-6.948255660109367,3.698303504580034e-12,1.2616785017483963e-08,nZF105
72262,5594,ENSG00000130513,8085.002309774251,0.3763309227873513,0.0849682927675411,4.429074782247644,9.463820610380125e-06,0.0051634077402091,nZF105
72908,6240,ENSG00000135114,112.80540960254638,1.2087962878624037,0.2505322075608169,4.824913729181774,1.4006388124453783e-06,0.0010816044162772,nZF105
73550,6882,ENSG00000138778,479.96872394869865,-0.7006000418966787,0.135432157484112,-5.173070081076339,2.3027859306605335e-07,0.0002462209572013,nZF105
73632,6964,ENSG00000139514,580.7357243574615,-0.4872903303353896,0.1291277745641074,-3.7737065629785698,0.0001608399292638,0.0496816670392881,nZF105
74727,8059,ENSG00000148450,660.2327610726073,-0.6247865276736194,0.1226098032173791,-5.095730612713846,3.473988353294091e-07,0.0003018027381924,nZF105
76739,10071,ENSG00000164938,742.6825464567067,0.4286835564413515,0.1115172260360968,3.8441016843675024,0.0001209948322566,0.0410201992284649,nZF105
77329,10661,ENSG00000167740,369.400596995114,0.5618118876452363,0.1417290951901259,3.9639841550641393,7.37091470520111e-05,0.0262706960005885,nZF105
77333,10665,ENSG00000167749,2221.598783137303,0.3663765735967617,0.0880036020786606,4.163199743452339,3.138186118971109e-05,0.0140712216302252,nZF105
77334,10666,ENSG00000167751,2891.745381657337,0.4751214286069088,0.0849140164155386,5.595323936649462,2.2021021829596293e-08,3.060922034313884e-05,nZF105
79941,13273,ENSG00000184678,319.4986866915846,0.6105563925889997,0.152905866736986,3.9930213641783943,6.52366881415029e-05,0.0243496250815986,nZF105
80146,13478,ENSG00000185745,119.69338348313109,1.210098505148356,0.2367579087644333,5.11112178454138,3.20251442943306e-07,0.0003018027381924,nZF105
80419,13751,ENSG00000187608,2785.0875012016186,0.4339251817113732,0.0984255900247531,4.408662235118375,1.0401109116968034e-05,0.0051634077402091,nZF105
80667,13999,ENSG00000189060,403.96960175733136,-0.7145599840034041,0.1375797406119055,-5.193787841329667,2.060579520867441e-07,0.0002386837945004,nZF105
81394,14726,ENSG00000198786,6057.009621068586,-0.3685943327538972,0.0773912410464322,-4.7627396559353885,1.909821716759078e-06,0.0013971853612079,nZF105
81403,14735,ENSG00000198804,13341.811604975526,-0.3634471218548215,0.0803335745439455,-4.52422444685319,6.061737049082272e-06,0.003829915681011,nZF105
82843,16175,ENSG00000214265,805.8743045650441,-0.6489716800224877,0.1091158055667439,-5.94754973078144,2.721860860426024e-09,4.7292332449902165e-06,nZF105
83020,16352,ENSG00000215386,1758.1222208438137,-0.4178947490476352,0.0932419367905463,-4.481832568390032,7.400479558409824e-06,0.0044724637331259,nZF105
83514,16846,Target(SNHG14),1377.0724428401154,-0.9411328057805712,0.106777536646094,-8.813958772057873,1.2080249688460316e-18,1.6791547066959838e-14,nZF105
84081,17413,ENSG00000226889,123.52908120737236,1.3258751106516873,0.2355376092579815,5.629143960612558,1.8110619601771868e-08,2.7970845829403217e-05,nZF105
87004,20336,ENSG00000243819,58.59768772614811,1.238581172022888,0.3281750503808838,3.774147884141028,0.0001605555031372,0.0496816670392881,nZF105
87839,21171,ENSG00000251131,71.23670651870815,1.2230356051139877,0.3007445411778678,4.066692616677134,4.768507353094459e-05,0.0194947800611802,nZF105
91821,25153,ENSG00000272677,107.37951541664218,1.9565175002630713,0.2620822799040635,7.465279609820488,8.312290978184836e-14,3.8513614865589736e-10,nZF105
94040,27372,ENSG00000285646,75.24269261954367,1.529500041391059,0.3001166380063053,5.0963520434975855,3.462609514921217e-07,0.0003018027381924,nZF105
94559,27891,ENSG00000287264,59.5034018702428,2.5646413426900403,0.3706497424064912,6.919312356832561,4.538411876792793e-12,1.2616785017483963e-08,nZF105
94952,28284,ENSG00000288825,631.282635543191,0.5300670635171447,0.1196997929066543,4.428303931407031,9.497700261430313e-06,0.0051634077402091,nZF105
94971,28303,ENSG00000288859,632.0473508002223,0.5282300454356044,0.1196551651238719,4.414602954153787,1.0119554780108813e-05,0.0051634077402091,nZF105
95113,28445,ENSG00000289100,125.6623244838049,1.5897053052950298,0.2365922843659047,6.71917644971233,1.8275449816685012e-11,4.2338125408653615e-08,nZF105
95772,29104,ENSG00000290849,730.0588983331606,-0.5297332358727713,0.1117185569527203,-4.741676318795957,2.119570749119066e-06,0.0014731016706377,nZF105
96787,30119,ENSG00000295248,32.29670722304904,1.8978318344450755,0.4609956423652843,4.116810789593689,3.8415119294641335e-05,0.0161809138847125,nZF105
103747,3369,ENSG00000109971,6672.481702633645,0.2225007839964989,0.0329502021961759,6.752637894960207,1.4518096582272394e-11,4.431978938479154e-08,nZF139
104597,4219,ENSG00000117318,1154.5123194213409,0.6732569910310343,0.1079051440626052,6.239341014552731,4.394181053247714e-10,1.1350507674466017e-06,nZF139
104849,4471,ENSG00000119917,122.7850053915694,1.3505458395676342,0.245735282386193,5.495937850085122,3.886393746728897e-08,8.700340134343758e-05,nZF139
104850,4472,ENSG00000119922,106.46546809022874,1.2718198530754632,0.2599198941109222,4.893122388441368,9.924864315858726e-07,0.001754089177508,nZF139
104855,4477,ENSG00000119946,30.219172456319296,2.257834440865888,0.5117433689760917,4.412044352198285,1.0239912993733568e-05,0.0134511163993465,nZF139
105498,5120,ENSG00000125968,754.4950995392952,1.0331333972775063,0.1213298381405284,8.515080981818297,1.6647392668923526e-17,1.39754861455613e-13,nZF139
105758,5380,ENSG00000128739,1585.2261281333294,-0.8013670218847565,0.093436659503945,-8.5765803929551,9.773536744273242e-18,1.0939845462423185e-13,nZF139
108207,7829,ENSG00000146674,300.4694112130275,1.033458243640465,0.1637547756600394,6.311011324554956,2.772179058107522e-10,7.757481064270885e-07,nZF139
111011,10633,ENSG00000167740,383.1677560252636,0.7867546113899087,0.1528221080730803,5.148172743525293,2.6303620359818065e-07,0.0005195738656957,nZF139
111110,10732,ENSG00000168209,2216.1883636162565,-0.3822874466794171,0.0845835579197294,-4.519642541428811,6.194413026749993e-06,0.0086670162265943,nZF139
112434,12056,ENSG00000176171,3152.011626524358,-0.4650299145076809,0.0975708732949544,-4.766073099519221,1.878511293145046e-06,0.0031540204611905,nZF139
113796,13418,ENSG00000185633,38.77563452071003,-1.9806793379832184,0.4728703639765257,-4.188630730264041,2.8064262648622667e-05,0.0324964806807154,nZF139
113821,13443,ENSG00000185745,116.27077576750897,1.2717516622598382,0.2490229763642976,5.106965151678947,3.273740942834086e-07,0.0006107345603353,nZF139
114096,13718,ENSG00000187608,2609.8160848256957,0.4200937677533423,0.1000250829738929,4.199884221670565,2.670515001061327e-05,0.0320271049055854,nZF139
116489,16111,ENSG00000214265,714.839889606347,-0.8844193137408486,0.1162843232741841,-7.605662473139189,2.8344816110234482e-14,1.1897736562270923e-10,nZF139
117181,16803,Target(SNHG14),1269.566491051716,-1.0336657331903258,0.111273814506339,-9.289388862744882,1.5517673968279962e-20,5.21083491854841e-16,nZF139
117747,17369,ENSG00000226889,139.5014172701549,1.67984067627567,0.2395318891216734,7.01301476991388,2.3323681774343997e-12,7.832092339824715e-09,nZF139
120683,20305,ENSG00000243819,73.72263322181871,1.8016166603505548,0.319138901731517,5.6452430292130495,1.6494807426851366e-08,3.956397381383348e-05,nZF139
121514,21136,ENSG00000251131,80.82231500118075,1.5913720023007076,0.304065071402781,5.233656055787777,1.6618956901663666e-07,0.0003487903579736,nZF139
122138,21760,ENSG00000255046,27.8424944148786,2.2684789154925484,0.5479187908666735,4.140173604749656,3.4704307992569936e-05,0.0388456887463499,nZF139
123787,23409,ENSG00000262619,16.139940482765944,4.011187896243255,0.9310044465271076,4.308451921154668,1.644012036735252e-05,0.020446638590211,nZF139
125498,25120,ENSG00000272677,126.33927821810956,2.3482453797717797,0.2626292631533363,8.94129371410053,3.8464056124702324e-19,6.458115023337519e-15,nZF139
127085,26707,ENSG00000280160,38.15476068098357,2.056358062088609,0.4492669841055912,4.577140397223809,4.713751179924336e-06,0.0071948983919026,nZF139
127705,27327,ENSG00000285646,94.51956530723872,2.062735036797087,0.2910833272344086,7.086407374806363,1.3763826303302213e-12,5.135436525165425e-09,nZF139
128221,27843,ENSG00000287264,68.61936621503978,2.9003673701597577,0.3741886863950558,7.751082476870097,9.1112481501002e-15,5.0992618813394125e-11,nZF139
128770,28392,ENSG00000289100,142.5300772296085,1.9378151529226224,0.2379822636973072,8.14268728608849,3.865998343768979e-16,2.5964044876752467e-12,nZF139
130031,29653,ENSG00000293751,90.91762953926823,1.2905470160378247,0.292748768589007,4.408377265796929,1.0414801262150372e-05,0.0134511163993465,nZF139
130049,29671,ENSG00000293847,15.3165351938734,3.561980992536432,0.8651419058145652,4.117221658778263,3.834672238646241e-05,0.0415381592818518,nZF139
130421,30043,ENSG00000295248,61.63118345927442,3.100753196669989,0.4023146453642908,7.707283919187919,1.2852365923986731e-14,6.165463538963921e-11,nZF139
130698,30320,ENSG00000296398,32.42873410119074,2.2990619507685612,0.5075538500385678,4.529690693103523,5.907009907021183e-06,0.0086242344642509,nZF139
131059,30681,ENSG00000298027,225.5796253896775,2.356915388897296,0.504681751303941,4.670102263075212,3.0104983168288294e-06,0.004813930165672,nZF139
