Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,treatment,term_clean,-log10(p),gene_ratio
GOTERM_BP_FAT,GO:0043068~positive regulation of programmed cell death,5,31.25,0.0005527595475549291,"664, 3312, 3433, 3399, 3486",14,601,19104,11.352507725219873,0.29374709563038,0.069426599172899,0.0689843915348551,nZF139,positive regulation of programmed cell death,3.257463747320734,0.35714285714285715
GOTERM_BP_FAT,GO:0140374~antiviral innate immune response,3,18.75,0.0011841519186411,"3437, 3434, 3433",14,76,19104,53.86466165413533,0.5253952383859617,0.1239412341511042,0.1231517995386768,nZF139,antiviral innate immune response,2.9265925770091132,0.21428571428571427
GOTERM_BP_FAT,GO:0051707~response to other organism,6,37.5,0.0029744778557193,"54541, 3437, 664, 3434, 3433, 9636",14,1600,19104,5.1171428571428565,0.8464508619978537,0.2297244000825264,0.2282611873431473,nZF139,response to other organism,2.526589259946181,0.42857142857142855
GOTERM_BP_FAT,GO:0043207~response to external biotic stimulus,6,37.5,0.0029991820578652,"54541, 3437, 664, 3434, 3433, 9636",14,1603,19104,5.107566170573032,0.8488254486040241,0.2297244000825264,0.2282611873431473,nZF139,response to external biotic stimulus,2.522997170677145,0.42857142857142855
GOTERM_BP_FAT,GO:0009607~response to biotic stimulus,6,37.5,0.003379246117284,"54541, 3437, 664, 3434, 3433, 9636",14,1647,19104,4.971116315378611,0.8810610913396102,0.2297244000825264,0.2282611873431473,nZF139,response to biotic stimulus,2.4711801765335273,0.42857142857142855
GOTERM_BP_FAT,GO:0006952~defense response,6,37.5,0.0036580318484478,"54541, 3437, 664, 3434, 3433, 9636",14,1677,19104,4.8821875798619985,0.9002532405355625,0.2297244000825264,0.2282611873431473,nZF139,defense response,2.43675251768275,0.42857142857142855
GOTERM_BP_FAT,GO:0045595~regulation of cell differentiation,6,37.5,0.0042982412489781,"3312, 3399, 3486, 3397, 9636, 124936",14,1740,19104,4.705418719211822,0.933424643874952,0.2306307936332012,0.2291618076864928,nZF139,regulation of cell differentiation,2.3667092123532822,0.42857142857142855
GOTERM_BP_FAT,GO:0044419~biological process involved in interspecies interaction between organisms,6,37.5,0.0044069578401248,"54541, 3437, 664, 3434, 3433, 9636",14,1750,19104,4.678530612244898,0.9378436614201252,0.2306307936332012,0.2291618076864928,nZF139,biological process involved in interspecies interaction between organisms,2.3558611042186355,0.42857142857142855
GOTERM_BP_FAT,GO:0043065~positive regulation of apoptotic process,4,25.0,0.0062218215857742,"664, 3433, 3399, 3486",14,576,19104,9.476190476190476,0.9802726867239104,0.2759525307281961,0.2741948712968063,nZF139,positive regulation of apoptotic process,2.2060824466867657,0.2857142857142857
GOTERM_BP_FAT,GO:0006915~apoptotic process,5,31.25,0.0063077297939135,"54541, 664, 3433, 3486, 3397",14,1165,19104,5.856529736358063,0.9813167534844311,0.2759525307281961,0.2741948712968063,nZF139,apoptotic process,2.2001269189458244,0.35714285714285715
